Year,Group,Element,QuesNum,QuesText,NegAns,PosAns
2014-15,Student,Supportive Environment,S1a,1a. How many of the students in your class(es) feel it is important to come to school every day?,"None, Some","A lot, All"
2014-15,Student,Supportive Environment,S1b,1b. How many of the students in your class(es) feel it is important to pay attention in class?,"None, Some","A lot, All"
2014-15,Student,Supportive Environment,S1c,1c. How many of the students in your class(es) think doing homework is important?,"None, Some","A lot, All"
2014-15,Student,Supportive Environment,S1d,1d. How many of the students in your class(es) try hard to get good grades?,"None, Some","A lot, All"
2014-15,Student,Rigorous Instruction,S2a,"2a. Think about the class that you attend first on Mondays. In that class, to what extent are you challenged?","Never, Rarely","Sometimes, Almost always"
2014-15,Student,Rigorous Instruction,S2b,"2b. Think about the class that you attend first on Mondays. In that class, to what extent do you have to work hard to do well?","Never, Rarely","Sometimes, Almost always"
2014-15,Student,Rigorous Instruction,S2c,"2c. Think about the class that you attend first on Mondays. In that class, to what extent do your teachers ask difficult questions on tests?","Never, Rarely","Sometimes, Almost always"
2014-15,Student,Rigorous Instruction,S2d,"2d. Think about the class that you attend first on Mondays. In that class, to what extent do your teachers ask difficult questions in class?  ","Never, Rarely","Sometimes, Almost always"
2014-15,Student,Supportive Environment,S3a,"3a. Think about the class that you attend first on Mondays. In that class, to what extent do students work quietly and calmly?","Never, Rarely","Sometimes, Almost always"
2014-15,Student,Supportive Environment,S3b,"3b. Think about the class that you attend first on Mondays. In that class, to what extent do students listen carefully when the teacher gives directions?","Never, Rarely","Sometimes, Almost always"
2014-15,Student,Supportive Environment,S3c,"3c. Think about the class that you attend first on Mondays. In that class, to what extent do students follow the rules in class?","Never, Rarely","Sometimes, Almost always"
2014-15,Student,Supportive Environment,S3d,"3d. Think about the class that you attend first on Mondays. In that class, to what extent do students pay attention when they are supposed to?","Never, Rarely","Sometimes, Almost always"
2014-15,Student,Supportive Environment,S3e,"3e. Think about the class that you attend first on Mondays. In that class, to what extent do students work when they are supposed to?","Never, Rarely","Sometimes, Almost always"
2014-15,Student,Supportive Environment,S3f,"3f. Think about the class that you attend first on Mondays. In that class, to what extent do students behave well even when the teacher isn't watching?","Never, Rarely","Sometimes, Almost always"
